City,Location,Coordinates,2,3
"CARTHAGE, NY","Carthage, NY 13619, USA","(43.9781236, -75.6093591)",,
"DUNMORE, PA","Dunmore, PA, USA","(41.4198027, -75.63241119999999)",,
"NEW CENTURY, KS","New Century, KS 66031, USA","(38.8226337, -94.8994355)",,
"CHATSWORTH, GA","Chatsworth, GA 30705, USA","(34.7659145, -84.7699385)",,
"COUNCE, TN","Counce, TN, USA","(35.0422751, -88.27353990000002)",,
"BAKER CITY, OR","Baker City, OR 97814, USA","(44.7748748, -117.8343848)",,
"OPA LOCKA, FL","Opa-locka, FL, USA","(25.9023168, -80.25032709999999)",,
"GRAPEVINE, TX","Grapevine, TX, USA","(32.9342919, -97.0780654)",,
"MCELHATTAN, PA","McElhattan, PA 17745, USA","(41.1597929, -77.3613651)",,
"VERMILLION, SD","Vermillion, SD 57069, USA","(42.7794417, -96.9292104)",,
"JANESVILLE, WI","Janesville, WI, USA","(42.6827885, -89.0187222)",,
"STEVENS POINT, WI","Stevens Point, WI, USA","(44.52357920000001, -89.574563)",,
"NEW ALBANY, OH","New Albany, OH, USA","(40.0812545, -82.80874179999999)",,
"LAKE CITY, FL","Lake City, FL, USA","(30.1896756, -82.6392899)",,
"BERNHARDS BAY, NY","Bernhards Bay, NY 13028, USA","(43.2445133, -75.933527)",,
"ADA, MI","Ada Township, MI, USA","(42.960727, -85.4954803)",,
"HAMPTON, VA","Hampton, VA, USA","(37.0298687, -76.34522179999999)",,
"ADRIAN, MI","Adrian, MI 49221, USA","(41.8975471, -84.03716589999999)",,
"CLINTON TOWNSHIP, MI","Clinton Twp, MI, USA","(42.5868882, -82.9195514)",,
"CAMP LEJEUNE, NC","Marine Corps Base Camp Lejeune, NC, USA","(34.6250544, -77.4013403)",,
"MILFORD, IA","Milford, IA 51351, USA","(43.3246863, -95.149996)",,
"PITMAN, NJ","Pitman, NJ 08071, USA","(39.732892, -75.1315651)",,
"REDFORD, MI","Redford Charter Twp, MI, USA","(42.3944486, -83.2973732)",,
"WALPOLE, NH","Walpole, NH, USA","(43.0794944, -72.4258229)",,
"AIRDRIE, AB","Airdrie, AB, Canada","(51.2926993, -114.0134073)",,
"KAOHSIUNG, TW","Kaohsiung City, Taiwan","(22.6272784, 120.3014353)",,
"DEVON, KY","Devon, KY 41042, USA","(38.9689506, -84.61577729999999)",,
"PHILDELPHIA, PA","Philadelphia, PA, USA","(39.9525839, -75.1652215)",,
"WINDSOR, CT","Windsor, CT, USA","(41.8525984, -72.64370219999999)",,
"TIETON, WA","Tieton, WA 98947, USA","(46.7020685, -120.7553504)",,
"JACKSON, NH","Jackson, NH, USA","(44.1462613, -71.1850996)",,
"FARMINGDALE, NJ","Farmingdale, NJ 07727, USA","(40.1965018, -74.1684757)",,
"OTTAWA, IL","Ottawa, IL 61350, USA","(41.3455892, -88.8425769)",,
"BARRINGTON, IL","Barrington, IL 60010, USA","(42.1539141, -88.1361888)",,
"BELLINGHAM, WA","Bellingham, WA, USA","(48.7519112, -122.4786854)",,
"DANBURY, CT","Danbury, CT, USA","(41.394817, -73.4540111)",,
"ROLLINSFORD, NH","Rollinsford, NH, USA","(43.2361957, -70.8203355)",,
"LE CENTER, MN","Le Center, MN 56057, USA","(44.38940969999999, -93.7302337)",,
"KIRKWOOD, MO","Kirkwood, MO 63122, USA","(38.5833862, -90.406785)",,
"GALLIPOLIS, OH","Gallipolis, OH 45631, USA","(38.809803, -82.2023691)",,
"COLUMBIA CITY, IN","Columbia City, IN 46725, USA","(41.15726859999999, -85.4883127)",,
"FREEMAN, SD","Freeman, SD 57029, USA","(43.3524871, -97.4372863)",,
"KAUFMAN, TX","Kaufman, TX, USA","(32.5890238, -96.3088693)",,
"PICKTOWN, SD","Pickstown, SD, USA","(43.0672168, -98.5320265)",,
"MONTGOMERY, PA","Montgomery, PA 17752, USA","(41.1703592, -76.8769076)",,
"TURNER FALLS, MA","Turners Falls, Montague, MA, USA","(42.60425230000001, -72.5564777)",,
"BLOOMSBURG, PA","Bloomsburg, PA 17815, USA","(41.003698, -76.4549457)",,
"GARY, SD","Gary, SD 57237, USA","(44.7924636, -96.4558854)",,
"GRANTHAM, NH","Grantham, NH, USA","(43.52254569999999, -72.1534606)",,
"BROOKS, OR","Brooks, OR, USA","(45.048175, -122.9584291)",,
"RYE, NH","Rye, NH, USA","(43.0019301, -70.7695547)",,
"PALMDALE, CA","Palmdale, CA, USA","(34.5794343, -118.1164613)",,
"SAN FRANCISCO, CA","San Francisco, CA, USA","(37.7749295, -122.4194155)",,
"ST CATHARINES, ON","St. Catharines, ON, Canada","(43.1593745, -79.2468626)",,
"LATHROP, CA","Lathrop, CA, USA","(37.8227046, -121.27661)",,
"KTCHENER, ON","Kitchener, ON, Canada","(43.4516395, -80.4925337)",,
"BELLWOOD, PA","Bellwood, PA, USA","(40.6024006, -78.33443849999999)",,
"KILMARNOCK, VA","Kilmarnock, VA 22482, USA","(37.7104135, -76.37966899999999)",,
"NEW WINDSOR, NY","New Windsor, NY, USA","(41.4706446, -74.1122506)",,
"BLOOMINGTON, IN","Bloomington, IN, USA","(39.165325, -86.52638569999999)",,
"BROADVIEW, IL","Broadview, IL, USA","(41.8639201, -87.85339309999999)",,
"PRINCETON JUNCTION, NJ","Princeton Junction, West Windsor Township, NJ, USA","(40.3173301, -74.61987909999999)",,
"EAST HANOVER, NJ","East Hanover, NJ, USA","(40.8200623, -74.3647247)",,
"FRANKLIN, VA","Franklin, VA 23851, USA","(36.6776507, -76.9224608)",,
"OPP, AL","Opp, AL 36467, USA","(31.2826685, -86.2555067)",,
"PUTNAM, ON","Putnam, ON N0L 2B0, Canada","(42.990276, -80.954269)",,
"OLD HICKORY, TN","Old Hickory, Nashville, TN 37138, USA","(36.2574941, -86.6477748)",,
"ALIQUIPPA, PA","Aliquippa, PA 15001, USA","(40.615537, -80.26218519999999)",,
"LOXLEY, AL","Loxley, AL 36551, USA","(30.6182476, -87.75304539999999)",,
"CLIFTON, NJ","Clifton, NJ, USA","(40.8584328, -74.16375529999999)",,
"CHELSEA, MI","Chelsea, MI 48118, USA","(42.3180919, -84.0205029)",,
"LIBERTY, SC","Liberty, SC 29657, USA","(34.78789100000001, -82.69235909999999)",,
"COLUMBIA, TN","Columbia, TN 38401, USA","(35.6150716, -87.0352831)",,
"DURANT, OK","Durant, OK, USA","(33.9924186, -96.39712329999999)",,
"LEITCHFIELD, KY","Leitchfield, KY 42754, USA","(37.4800544, -86.2938637)",,
"BARDSTOWN, KY","Bardstown, KY 40004, USA","(37.8092279, -85.46690249999999)",,
"EAST POINT, GA","East Point, GA, USA","(33.6795531, -84.43937240000001)",,
"OLYPHANT, PA","Olyphant, PA, USA","(41.4684138, -75.60296559999999)",,
"HARWOOD HEIGHTS, IL","Harwood Heights, IL, USA","(41.96725319999999, -87.8075612)",,
"LEWISTON, ME","Lewiston, ME, USA","(44.100351, -70.21477639999999)",,
"BROOKHAVEN, NY","Brookhaven, NY, USA","(40.8273786, -72.995048)",,
"STEPHENVILLE, TX","Stephenville, TX 76401, USA","(32.2206958, -98.2022633)",,
"GLASGOW, KY","Glasgow, KY 42141, USA","(36.9958839, -85.91192149999999)",,
"LYNDHURST, VA","Lyndhurst, VA, USA","(38.0293036, -78.94502419999999)",,
"MARION, IL","Marion, IL, USA","(37.7306054, -88.9331256)",,
"COMBINED LOCKS, WI","Combined Locks, WI, USA","(44.2658204, -88.314273)",,
"MOUNT PLEASANT, TX","Mt Pleasant, TX 75455, USA","(33.1567863, -94.96826899999999)",,
"PINEVILLE, KY","Pineville, KY 40977, USA","(36.76203, -83.6949176)",,
"DE FOREST, WI","DeForest, WI, USA","(43.2477685, -89.343727)",,
"LOS NIETOS, CA","West Whittier-Los Nietos, CA 90606, USA","(33.9800552, -118.0679147)",,
"CHAPMAN, PA","Chapman, PA 18014, USA","(40.7606516, -75.4046259)",,
"PITTSBURG, KS","Pittsburg, KS 66762, USA","(37.410884, -94.70496)",,
"HUNTLEY, IL","Huntley, IL 60142, USA","(42.1680796, -88.4281415)",,
"LONOKE, AR","Lonoke, AR 72086, USA","(34.7839795, -91.8998611)",,
"N. CHESTERFIELD, VA","North Chesterfield, Richmond, VA 23234, USA","(37.458993, -77.468513)",,
"SAINTE CATHERINE, QC","Sainte-Catherine, QC, Canada","(45.39582, -73.5657429)",,
"BUTLER, IN","Butler, IN 46721, USA","(41.4297727, -84.8713502)",,
"BEAVER FALLS, NY","Beaver Falls, NY 13620, USA","(43.8870133, -75.4274083)",,
"HAYWARD, WI","Hayward, WI 54843, USA","(46.0130065, -91.4846208)",,
"LAKEWOOD, NJ","Lakewood Township, NJ 08701, USA","(40.08212899999999, -74.2097014)",,
"OKOLONA, MS","Okolona, MS 38860, USA","(34.001778, -88.7553293)",,
"LINCOLN, RI","Lincoln, RI, USA","(41.9110123, -71.4418101)",,
"CHICKASAW, OH","Chickasaw, OH, USA","(40.4369913, -84.4932863)",,
